Journal Title,ISSN,Reason,Journal Title Normalized,URL,Data Source,added,Remove_Date,Add_Date,reason_category,Folder
Revista Ingeniería UC,1316-6832,Still in DOAJ index,revista ingeniería uc,http://servicio.bc.uc.edu.ve/ingenieria/revista/index.htm,DOAJ,1.0,1300-01-01 00:00:00,2020-06-01 00:00:00,interesting reason,http:__servicio.bc.uc.edu.ve_ingenieria_revista_index.htm
Revista Internacional de Ciências,2316-7041,Still in DOAJ index,revista internacional de ciências,http://www.e-publicacoes.uerj.br/index.php/ric,DOAJ,1.0,1300-01-01 00:00:00,2014-11-18 00:00:00,interesting reason,http:__www.e-publicacoes.uerj.br_index.php_ric
Revista Investigación & Desarrollo,0121-3261,Still in DOAJ index,revista investigación & desarrollo,http://rcientificas.uninorte.edu.co/index.php/investigacion/index,DOAJ,1.0,1300-01-01 00:00:00,2016-10-05 00:00:00,interesting reason,http:__rcientificas.uninorte.edu.co_index.php_investigacion_index
Revista Investigación y Formación Pedagógica,2477-9342,Still in DOAJ index,revista investigación y formación pedagógica,http://revistas.upel.digital/index.php/revinvformpedag/index,DOAJ,1.0,1300-01-01 00:00:00,2017-03-04 00:00:00,interesting reason,http:__revistas.upel.digital_index.php_revinvformpedag_index
Revista Maracanan,1807-989X,Still in DOAJ index,revista maracanan,http://www.e-publicacoes.uerj.br/index.php/maracanan,DOAJ,1.0,1300-01-01 00:00:00,2019-08-20 00:00:00,interesting reason,http:__www.e-publicacoes.uerj.br_index.php_maracanan
Revista Mediação,1980-556X,Still in DOAJ index,revista mediação,http://www.revista.ueg.br/index.php/mediacao,DOAJ,1.0,1300-01-01 00:00:00,2018-04-21 00:00:00,interesting reason,http:__www.revista.ueg.br_index.php_mediacao
Revista Metropolitana de Sustentabilidade,2318-3233,Still in DOAJ index,revista metropolitana de sustentabilidade,http://www.revistaseletronicas.fmu.br/index.php/rms/index,DOAJ,1.0,1300-01-01 00:00:00,2016-06-07 00:00:00,interesting reason,http:__www.revistaseletronicas.fmu.br_index.php_rms_index
Revista Missioneira,2594-9950,Still in DOAJ index,revista missioneira,http://srvapp2s.santoangelo.uri.br/seer/index.php/missioneira/index,DOAJ,1.0,1300-01-01 00:00:00,2019-06-08 00:00:00,interesting reason,http:__srvapp2s.santoangelo.uri.br_seer_index.php_missioneira_index
Revista Neiba,2317-3459,Still in DOAJ index,revista neiba,https://www.e-publicacoes.uerj.br/index.php/neiba/index,DOAJ,1.0,1300-01-01 00:00:00,2020-07-10 00:00:00,interesting reason,https:__www.e-publicacoes.uerj.br_index.php_neiba_index
Revista Nicolaita de Estudios Económicos,2007-9877,Still in DOAJ index,revista nicolaita de estudios económicos,https://www.rnee.umich.mx/index.php/RNEE,DOAJ,1.0,1300-01-01 00:00:00,2018-07-07 00:00:00,interesting reason,https:__www.rnee.umich.mx_index.php_RNEE
Revista Pedagógica,1984-1566,Still in DOAJ index,revista pedagógica,https://bell.unochapeco.edu.br/revistas/index.php/pedagogica/index,DOAJ,1.0,1300-01-01 00:00:00,2019-06-03 00:00:00,interesting reason,https:__bell.unochapeco.edu.br_revistas_index.php_pedagogica_index
Revista Peruana de Investigación en Salud,2616-6097,Still in DOAJ index,revista peruana de investigación en salud,http://revistas.unheval.edu.pe/index.php/repis,DOAJ,1.0,1300-01-01 00:00:00,2018-09-11 00:00:00,interesting reason,http:__revistas.unheval.edu.pe_index.php_repis
Revista Presença Geográfica,2446-6646,Still in DOAJ index,revista presença geográfica,http://www.periodicos.unir.br/index.php/RPGeo/index,DOAJ,1.0,1300-01-01 00:00:00,2020-07-07 00:00:00,interesting reason,http:__www.periodicos.unir.br_index.php_RPGeo_index
Revista Quaestio Iuris,1516-0351,Still in DOAJ index,revista quaestio iuris,http://www.e-publicacoes.uerj.br/index.php/quaestioiuris/index,DOAJ,1.0,1300-01-01 00:00:00,2014-06-04 00:00:00,interesting reason,http:__www.e-publicacoes.uerj.br_index.php_quaestioiuris_index
Revista Sociais e Humanas,0103-0620,Still in DOAJ index,revista sociais e humanas,https://periodicos.ufsm.br/sociaisehumanas/index,DOAJ,1.0,1300-01-01 00:00:00,2019-04-30 00:00:00,interesting reason,https:__periodicos.ufsm.br_sociaisehumanas_index
Revista Sustinere,2359-0424,Still in DOAJ index,revista sustinere,http://www.e-publicacoes.uerj.br/index.php/sustinere,DOAJ,1.0,1300-01-01 00:00:00,2015-07-20 00:00:00,interesting reason,http:__www.e-publicacoes.uerj.br_index.php_sustinere
Revista Textura,1518-4919,Still in DOAJ index,revista textura,http://www.periodicos.ulbra.br/index.php/txra,DOAJ,1.0,1300-01-01 00:00:00,2015-04-23 00:00:00,interesting reason,http:__www.periodicos.ulbra.br_index.php_txra
Revista Universitaria de la Educación Física y el Deporte,1688-4949,Still in DOAJ index,revista universitaria de la educación física y el deporte,http://www.revistasiuacj.edu.uy/index.php/rev1/index,DOAJ,1.0,1300-01-01 00:00:00,2018-02-06 00:00:00,interesting reason,http:__www.revistasiuacj.edu.uy_index.php_rev1_index
Revista Videre,2177-7837,Still in DOAJ index,revista videre,http://ojs.ufgd.edu.br/index.php/videre,DOAJ,1.0,1300-01-01 00:00:00,2018-04-28 00:00:00,interesting reason,http:__ojs.ufgd.edu.br_index.php_videre
Revista Visión Gerencial,2477-9547,Still in DOAJ index,revista visión gerencial,http://erevistas.saber.ula.ve/index.php/visiongerencial,DOAJ,1.0,1300-01-01 00:00:00,2017-11-20 00:00:00,interesting reason,http:__erevistas.saber.ula.ve_index.php_visiongerencial
Revista da ANPEGE,1679-768X,Still in DOAJ index,revista da anpege,http://ojs.ufgd.edu.br/index.php/anpege,DOAJ,1.0,1300-01-01 00:00:00,2018-05-05 00:00:00,interesting reason,http:__ojs.ufgd.edu.br_index.php_anpege
Revista da Casa da Geografia de Sobral,1516-7712,Still in DOAJ index,revista da casa da geografia de sobral,https://rcgs.uvanet.br/index.php/RCGS,DOAJ,1.0,1300-01-01 00:00:00,2020-08-21 00:00:00,interesting reason,https:__rcgs.uvanet.br_index.php_RCGS
Revista de Ciências Sociais,0041-8862,Still in DOAJ index,revista de ciências sociais,http://www.rcs.ufc.br,DOAJ,1.0,1300-01-01 00:00:00,2018-04-20 00:00:00,interesting reason,http:__www.rcs.ufc.br
Revista de El Colegio de San Luis,1665-899X,Still in DOAJ index,revista de el colegio de san luis,http://ojs.colsan.edu.mx/,DOAJ,1.0,1300-01-01 00:00:00,2016-03-22 00:00:00,interesting reason,http:__ojs.colsan.edu.mx_
Revista de Psicología y Ciencias del Comportamiento de la Unidad Académica de Ciencias Jurídicas y Sociales,2007-1833,Still in DOAJ index,revista de psicología y ciencias del comportamiento de la unidad académica de ciencias jurídicas y sociales,http://www.revistapcc.uat.edu.mx/index.php/RPC,DOAJ,1.0,1300-01-01 00:00:00,2017-06-09 00:00:00,interesting reason,http:__www.revistapcc.uat.edu.mx_index.php_RPC
Revista del Museo de La Plata,2545-6369,Still in DOAJ index,revista del museo de la plata,https://publicaciones.fcnym.unlp.edu.ar/rmlp/,DOAJ,1.0,1300-01-01 00:00:00,2019-02-02 00:00:00,interesting reason,https:__publicaciones.fcnym.unlp.edu.ar_rmlp_
Revista do GEL,1806-4906,Still in DOAJ index,revista do gel,http://revistadogel.gel.org.br/rg/index,DOAJ,1.0,1300-01-01 00:00:00,2016-09-22 00:00:00,interesting reason,http:__revistadogel.gel.org.br_rg_index
Revista Ñanduty,2317-8590,Still in DOAJ index,revista ñanduty,http://ojs.ufgd.edu.br/index.php/nanduty,DOAJ,1.0,1300-01-01 00:00:00,2018-04-20 00:00:00,interesting reason,http:__ojs.ufgd.edu.br_index.php_nanduty
Revista Órbita Pedagógica,2409-0131,Still in DOAJ index,revista órbita pedagógica,http://revista.isced-hbo.ed.ao/rop/index.php/ROP/index,DOAJ,1.0,1300-01-01 00:00:00,2019-04-30 00:00:00,interesting reason,http:__revista.isced-hbo.ed.ao_rop_index.php_ROP_index
Revue Africaine de Management,2335-9811,Still in DOAJ index,revue africaine de management,https://revues.imist.ma/index.php?journal=RAM&page=index,DOAJ,1.0,1300-01-01 00:00:00,2020-09-23 00:00:00,interesting reason,https:__revues.imist.ma_index.php?journal=RAM&page=index
"Revue Economie, Gestion et Société",2458-6250,Still in DOAJ index,"revue economie, gestion et société",https://revues.imist.ma/index.php?journal=REGS&page=index,DOAJ,1.0,1300-01-01 00:00:00,2020-05-01 00:00:00,interesting reason,https:__revues.imist.ma_index.php?journal=REGS&page=index
"Revue Marocaine de l'Entrepreneuriat, de l'Innovation et du Management",2509-0429,Still in DOAJ index,"revue marocaine de l'entrepreneuriat, de l'innovation et du management",https://revues.imist.ma/index.php/RMEIM,DOAJ,1.0,1300-01-01 00:00:00,2020-11-03 00:00:00,interesting reason,https:__revues.imist.ma_index.php_RMEIM
Rhythmos,1792-7919,Still in DOAJ index,rhythmos,http://www.rhythmos.gr,DOAJ,1.0,1300-01-01 00:00:00,2017-07-04 00:00:00,interesting reason,http:__www.rhythmos.gr
Riparia,2443-9762,Still in DOAJ index,riparia,http://revistas.uca.es/index.php/sig,DOAJ,1.0,1300-01-01 00:00:00,2017-10-11 00:00:00,interesting reason,http:__revistas.uca.es_index.php_sig
Rivista CQIA,2039-4039,Still in DOAJ index,rivista cqia,http://www.forperlav.eu/,DOAJ,1.0,1300-01-01 00:00:00,2015-09-08 00:00:00,interesting reason,http:__www.forperlav.eu_
SA Orthopaedic Journal,1681-150X,Still in DOAJ index,sa orthopaedic journal,http://journal.saoa.org.za/index.php/saoj,DOAJ,1.0,1300-01-01 00:00:00,2018-01-15 00:00:00,interesting reason,http:__journal.saoa.org.za_index.php_saoj
SISFORMA,2355-8253,Still in DOAJ index,sisforma,http://journal.unika.ac.id/index.php/sisforma,DOAJ,1.0,1300-01-01 00:00:00,2016-03-28 00:00:00,interesting reason,http:__journal.unika.ac.id_index.php_sisforma
Salud Uninorte,2011-7531,Still in DOAJ index,salud uninorte,http://rcientificas.uninorte.edu.co/index.php/salud/,DOAJ,1.0,1300-01-01 00:00:00,2018-01-05 00:00:00,interesting reason,http:__rcientificas.uninorte.edu.co_index.php_salud_
Salutem Scientia Spiritus,2463-1426,Still in DOAJ index,salutem scientia spiritus,http://revistas.javerianacali.edu.co/index.php/salutemscientiaspiritus/index,DOAJ,1.0,1300-01-01 00:00:00,2016-04-08 00:00:00,interesting reason,http:__revistas.javerianacali.edu.co_index.php_salutemscientiaspiritus_index
Sapienza Organizacional,2443-4256,Still in DOAJ index,sapienza organizacional,http://erevistas.saber.ula.ve/sapienza,DOAJ,1.0,1300-01-01 00:00:00,2020-11-11 00:00:00,interesting reason,http:__erevistas.saber.ula.ve_sapienza
Scientific Annals of Economics and Business,2501-3165,Still in DOAJ index,scientific annals of economics and business,http://saeb.feaa.uaic.ro/,DOAJ,1.0,1300-01-01 00:00:00,2017-02-21 00:00:00,interesting reason,http:__saeb.feaa.uaic.ro_
Sinéctica,2007-7033,Still in DOAJ index,sinéctica,https://sinectica.iteso.mx,DOAJ,1.0,1300-01-01 00:00:00,2018-09-11 00:00:00,interesting reason,https:__sinectica.iteso.mx
Small Business International Review,2531-0046,Still in DOAJ index,small business international review,https://sbir.upct.es,DOAJ,1.0,1300-01-01 00:00:00,2018-11-28 00:00:00,interesting reason,https:__sbir.upct.es
Soepra: Jurnal Hukum Kesehatan,2548-818X,Still in DOAJ index,soepra: jurnal hukum kesehatan,http://journal.unika.ac.id/index.php/shk,DOAJ,1.0,1300-01-01 00:00:00,2017-10-23 00:00:00,interesting reason,http:__journal.unika.ac.id_index.php_shk
Soletras Revista,2316-8838,Still in DOAJ index,soletras revista,http://www.e-publicacoes.uerj.br/index.php/soletras,DOAJ,1.0,1300-01-01 00:00:00,2017-03-09 00:00:00,interesting reason,http:__www.e-publicacoes.uerj.br_index.php_soletras
Sorot,2623-1875,Still in DOAJ index,sorot,https://sorot.ejournal.unri.ac.id/index.php/JS/index,DOAJ,1.0,1300-01-01 00:00:00,2020-08-06 00:00:00,interesting reason,https:__sorot.ejournal.unri.ac.id_index.php_JS_index
Studia Universitatis Moldaviae: Stiinte Exacte si Economice,1857-2073,Still in DOAJ index,studia universitatis moldaviae: stiinte exacte si economice,http://studiamsu.eu/stiinte-exacte-si-economice/,DOAJ,1.0,1300-01-01 00:00:00,2015-10-11 00:00:00,interesting reason,http:__studiamsu.eu_stiinte-exacte-si-economice_
Studia Universitatis Moldaviae: Stiinte Sociale,1814-3199,Still in DOAJ index,studia universitatis moldaviae: stiinte sociale,http://studiamsu.eu/stiinte-sociale/,DOAJ,1.0,1300-01-01 00:00:00,2015-08-06 00:00:00,interesting reason,http:__studiamsu.eu_stiinte-sociale_
Studia Universitatis Moldaviae: Stiinte Umanistice,1811-2668,Still in DOAJ index,studia universitatis moldaviae: stiinte umanistice,http://studiamsu.eu/stiinte-umanistice/,DOAJ,1.0,1300-01-01 00:00:00,2015-11-23 00:00:00,interesting reason,http:__studiamsu.eu_stiinte-umanistice_
Studia Universitatis Moldaviae: Stiinte ale Educatiei,1857-2103,Still in DOAJ index,studia universitatis moldaviae: stiinte ale educatiei,http://studiamsu.eu/stiinte-ale-educatiei/,DOAJ,1.0,1300-01-01 00:00:00,2015-08-06 00:00:00,interesting reason,http:__studiamsu.eu_stiinte-ale-educatiei_
Studia Universitatis Moldaviae: Stiinte reale si ale naturii,1814-3237,Still in DOAJ index,studia universitatis moldaviae: stiinte reale si ale naturii,http://studiamsu.eu/stiinte-ale-naturii/,DOAJ,1.0,1300-01-01 00:00:00,2015-08-06 00:00:00,interesting reason,http:__studiamsu.eu_stiinte-ale-naturii_
Tarling,2599-1302,Still in DOAJ index,tarling,http://ejournal.iainpurwokerto.ac.id/index.php/tarling/index,DOAJ,1.0,1300-01-01 00:00:00,2019-12-10 00:00:00,interesting reason,http:__ejournal.iainpurwokerto.ac.id_index.php_tarling_index
Tavukçuluk Araştırma Dergisi,1302-3209,Still in DOAJ index,tavukçuluk araştırma dergisi,http://www.turkishpoultryscience.com,DOAJ,1.0,1300-01-01 00:00:00,2018-01-30 00:00:00,interesting reason,http:__www.turkishpoultryscience.com
Taxonomy and Biosystematics Journal,2008-8906,Still in DOAJ index,taxonomy and biosystematics journal,http://uijs.ui.ac.ir/tbj/index.php?slc_lang=en&sid=1,DOAJ,1.0,1300-01-01 00:00:00,2016-04-13 00:00:00,interesting reason,http:__uijs.ui.ac.ir_tbj_index.php?slc_lang=en&sid=1
Teknik,0852-1697,Still in DOAJ index,teknik,https://ejournal.undip.ac.id/index.php/teknik,DOAJ,1.0,1300-01-01 00:00:00,2015-12-01 00:00:00,interesting reason,https:__ejournal.undip.ac.id_index.php_teknik
Teraputik: Jurnal Bimbingan dan Konseling,2580-2046,Still in DOAJ index,teraputik: jurnal bimbingan dan konseling,https://ejournal-bk.unindra.ac.id/index.php/teraputik/,DOAJ,1.0,1300-01-01 00:00:00,2017-11-15 00:00:00,interesting reason,https:__ejournal-bk.unindra.ac.id_index.php_teraputik_
Turbo: Jurnal Program Studi Teknik Mesin,2301-6663,Still in DOAJ index,turbo: jurnal program studi teknik mesin,http://ojs.ummetro.ac.id/index.php/turbo/index,DOAJ,1.0,1300-01-01 00:00:00,2017-05-09 00:00:00,interesting reason,http:__ojs.ummetro.ac.id_index.php_turbo_index
Turkish Journal of Islamic Economics,2148-3809,Still in DOAJ index,turkish journal of islamic economics,https://tujise.org/,DOAJ,1.0,1300-01-01 00:00:00,2015-05-14 00:00:00,interesting reason,https:__tujise.org_
Uluslararası Politik Araştırmalar Dergisi,2528-9969,Still in DOAJ index,uluslararası politik araştırmalar dergisi,http://politikarastirmalar.org/index.php/ICPS,DOAJ,1.0,1300-01-01 00:00:00,2018-02-12 00:00:00,interesting reason,http:__politikarastirmalar.org_index.php_ICPS
Uluslararası Sosyal Bilimler Dergisi,2564-7695,Still in DOAJ index,uluslararası sosyal bilimler dergisi,http://usb.dergi.comu.edu.tr,DOAJ,1.0,1300-01-01 00:00:00,2018-03-19 00:00:00,interesting reason,http:__usb.dergi.comu.edu.tr
Varia Justicia,1907-3216,Still in DOAJ index,varia justicia,http://journal.ummgl.ac.id/index.php/variajusticia,DOAJ,1.0,1300-01-01 00:00:00,2017-09-26 00:00:00,interesting reason,http:__journal.ummgl.ac.id_index.php_variajusticia
Vektora,2085-868X,Still in DOAJ index,vektora,http://ejournal.litbang.depkes.go.id/index.php/vk,DOAJ,1.0,1300-01-01 00:00:00,2016-05-13 00:00:00,interesting reason,http:__ejournal.litbang.depkes.go.id_index.php_vk
Viaggiatori,2532-7364,Still in DOAJ index,viaggiatori,http://www.viaggiatorijournal.com,DOAJ,1.0,1300-01-01 00:00:00,2018-03-14 00:00:00,interesting reason,http:__www.viaggiatorijournal.com
Voennyi Sbornik,2309-6322,Still in DOAJ index,voennyi sbornik,http://ejournal6.com/en/index.html,DOAJ,1.0,1300-01-01 00:00:00,2015-07-28 00:00:00,interesting reason,http:__ejournal6.com_en_index.html
Volksgeist,2615-5648,Still in DOAJ index,volksgeist,http://ejournal.iainpurwokerto.ac.id/index.php/volksgeist,DOAJ,1.0,1300-01-01 00:00:00,2021-06-07 00:00:00,interesting reason,http:__ejournal.iainpurwokerto.ac.id_index.php_volksgeist
Vìsnik Dnìpropetrovsʹkogo Unìversitetu: Serìâ Psihologìâ,2414-9268,Still in DOAJ index,vìsnik dnìpropetrovsʹkogo unìversitetu: serìâ psihologìâ,http://psyresearch.dp.ua/index.php/psy/index,DOAJ,1.0,1300-01-01 00:00:00,2017-06-12 00:00:00,interesting reason,http:__psyresearch.dp.ua_index.php_psy_index
Waste Technology,2338-6207,Still in DOAJ index,waste technology,http://ejournal.undip.ac.id/index.php/wastech,DOAJ,1.0,1300-01-01 00:00:00,2016-06-09 00:00:00,interesting reason,http:__ejournal.undip.ac.id_index.php_wastech
"Yinyang: Jurnal Studi Islam, Gender dan Anak",2548-5385,Still in DOAJ index,"yinyang: jurnal studi islam, gender dan anak",http://ejournal.iainpurwokerto.ac.id/index.php/yinyang,DOAJ,1.0,1300-01-01 00:00:00,2019-11-11 00:00:00,interesting reason,http:__ejournal.iainpurwokerto.ac.id_index.php_yinyang
Zhishi guanli luntan,2095-5472,Still in DOAJ index,zhishi guanli luntan,http://www.kmf.ac.cn,DOAJ,1.0,1300-01-01 00:00:00,2017-02-10 00:00:00,interesting reason,http:__www.kmf.ac.cn
Zhongguo Yancao Xuebao,1004-5708,Still in DOAJ index,zhongguo yancao xuebao,http://ycxb.tobacco.org.cn/EN/1004-5708/home.shtml,DOAJ,1.0,1300-01-01 00:00:00,2018-06-28 00:00:00,interesting reason,http:__ycxb.tobacco.org.cn_EN_1004-5708_home.shtml
Zhongguo youliao zuowu xuebao,1007-9084,Still in DOAJ index,zhongguo youliao zuowu xuebao,http://www.jouroilcrops.cn,DOAJ,1.0,1300-01-01 00:00:00,2021-07-05 00:00:00,interesting reason,http:__www.jouroilcrops.cn
Zhongliu Fangzhi Yanjiu,1000-8578,Still in DOAJ index,zhongliu fangzhi yanjiu,http://www.zlfzyj.com,DOAJ,1.0,1300-01-01 00:00:00,2019-07-15 00:00:00,interesting reason,http:__www.zlfzyj.com
e-Mosaicos,2316-9303,Still in DOAJ index,e-mosaicos,https://www.e-publicacoes.uerj.br/index.php/e-mosaicos,DOAJ,1.0,1300-01-01 00:00:00,2019-05-30 00:00:00,interesting reason,https:__www.e-publicacoes.uerj.br_index.php_e-mosaicos
İletişim Kuram ve Araştırma Dergisi,2147-4524,Still in DOAJ index,i̇letişim kuram ve araştırma dergisi,http://iletisimdergisi.hacibayram.edu.tr,DOAJ,1.0,1300-01-01 00:00:00,2016-02-15 00:00:00,interesting reason,http:__iletisimdergisi.hacibayram.edu.tr
İnsan & Toplum,2146-7099,Still in DOAJ index,i̇nsan & toplum,http://insanvetoplum.org/en,DOAJ,1.0,1300-01-01 00:00:00,2018-08-08 00:00:00,interesting reason,http:__insanvetoplum.org_en
İstanbul Üniversitesi Orman Fakültesi Dergisi,0535-8418,Still in DOAJ index,i̇stanbul üniversitesi orman fakültesi dergisi,http://dergipark.ulakbim.gov.tr/jffiu,DOAJ,1.0,1300-01-01 00:00:00,2015-05-22 00:00:00,interesting reason,http:__dergipark.ulakbim.gov.tr_jffiu
Государственное и муниципальное управление,2079-1690,Still in DOAJ index,государственное и муниципальное управление,http://upravlenie.uriu.ranepa.ru,DOAJ,1.0,1300-01-01 00:00:00,2019-07-24 00:00:00,interesting reason,http:__upravlenie.uriu.ranepa.ru
Северо-Кавказский юридический вестник,2074-7306,Still in DOAJ index,северо-кавказский юридический вестник,http://vestnik.uriu.ranepa.ru,DOAJ,1.0,1300-01-01 00:00:00,2019-07-24 00:00:00,interesting reason,http:__vestnik.uriu.ranepa.ru
مجلة الاجتهاد للدراسات القانونية والاقتصادية,2335-1039,Still in DOAJ index,مجلة الاجتهاد للدراسات القانونية والاقتصادية,https://alijtihed.cu-tamanrasset.dz/,DOAJ,1.0,1300-01-01 00:00:00,2020-01-18 00:00:00,interesting reason,https:__alijtihed.cu-tamanrasset.dz_
مطالعات اسلام و روانشناسی,2008-1103,Still in DOAJ index,مطالعات اسلام و روانشناسی,http://islamicpsy.rihu.ac.ir/,DOAJ,1.0,1300-01-01 00:00:00,2018-10-17 00:00:00,interesting reason,http:__islamicpsy.rihu.ac.ir_
口腔疾病防治,2096-1456,Still in DOAJ index,口腔疾病防治,http://www.kqjbfz.com/EN/2096-1456/home.shtml,DOAJ,1.0,1300-01-01 00:00:00,2019-05-16 00:00:00,interesting reason,http:__www.kqjbfz.com_EN_2096-1456_home.shtml
智慧农业,2096-8094,Still in DOAJ index,智慧农业,http://www.smartag.net.cn/EN/2096-8094/home.shtml,DOAJ,1.0,1300-01-01 00:00:00,2021-09-17 00:00:00,interesting reason,http:__www.smartag.net.cn_EN_2096-8094_home.shtml
环境与职业医学,2095-9982,Still in DOAJ index,环境与职业医学,http://www.jeom.org/,DOAJ,1.0,1300-01-01 00:00:00,2021-11-10 00:00:00,interesting reason,http:__www.jeom.org_
Avances en Química,1856-5301,Invalid ISSN,avances en química,http://www.saber.ula.ve/avancesenquimica,DOAJ,0.0,2016-11-20 00:00:00,1200-01-01 00:00:00,interesting reason,http:__www.saber.ula.ve_avancesenquimica
Jurnal Aksioma,2089-8703,Journal not adhering to best practice,jurnal aksioma,http://ojs.fkip.ummetro.ac.id/index.php/matematika,DOAJ,0.0,2020-05-22 00:00:00,1200-01-01 00:00:00,interesting reason,http:__ojs.fkip.ummetro.ac.id_index.php_matematika
"Biology, Engineering and Medicine (BEM)",Unknown,A,"biology, engineering and medicine (bem)",https://www.oatext.com/Biology-Engineering-and-Medicine-BEM.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Biology-Engineering-and-Medicine-BEM.php
Biomaterials and Tissue Technology (BTT),Unknown,A,biomaterials and tissue technology (btt),https://oatext.com/Biomaterials-and-Tissue-Technology-BTT.php,Gray OA,,,,interesting reason,https:__oatext.com_Biomaterials-and-Tissue-Technology-BTT.php
Biomedical Genetics and Genomics (BGG),Unknown,A,biomedical genetics and genomics (bgg),https://www.oatext.com/Biomedical-Genetics-and-Genomics-BGG.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Biomedical-Genetics-and-Genomics-BGG.php
Biomedical Research and Clinical Practice (BRCP),Unknown,A,biomedical research and clinical practice (brcp),https://www.oatext.com/Biomedical-Research-and-Clinical-Practice-BRCP.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Biomedical-Research-and-Clinical-Practice-BRCP.php
Cancer Reports and Reviews (CRR),Unknown,A,cancer reports and reviews (crr),https://www.oatext.com/Cancer-Reports-and-Reviews-CRR.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Cancer-Reports-and-Reviews-CRR.php
Cardiovascular Disorders and Medicine (CDM),Unknown,A,cardiovascular disorders and medicine (cdm),https://oatext.com/Cardiovascular-Disorders-and-Medicine-CDM.php,Gray OA,,,,interesting reason,https:__oatext.com_Cardiovascular-Disorders-and-Medicine-CDM.php
Clinical and Diagnostic Pathology (CDP),Unknown,A,clinical and diagnostic pathology (cdp),https://www.oatext.com/Clinical-and-Diagnostic-Pathology-CDP.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Clinical-and-Diagnostic-Pathology-CDP.php
Clinical and Medical Investigations (CMI),Unknown,A,clinical and medical investigations (cmi),https://www.oatext.com/Clinical-and-Medical-Investigations-CMI.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Clinical-and-Medical-Investigations-CMI.php
Clinical Case Reports and Reviews (CCRR),Unknown,A,clinical case reports and reviews (ccrr),https://www.oatext.com/clinical-case-reports-and-reviews-ccrr.php,Gray OA,,,,interesting reason,https:__www.oatext.com_clinical-case-reports-and-reviews-ccrr.php
Clinical Microbiology and Infectious Diseases (CMID),Unknown,A,clinical microbiology and infectious diseases (cmid),https://www.oatext.com/Clinical-Microbiology-and-Infectious-Diseases-CMID.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Clinical-Microbiology-and-Infectious-Diseases-CMID.php
"Clinical Obstetrics, Gynecology and Reproductive Medicine (COGRM)",Unknown,A,"clinical obstetrics, gynecology and reproductive medicine (cogrm)",http://www.oatext.com/Clinical-Obstetrics-Gynecology-and-Reproductive-Medicine-cogrm.php,Gray OA,,,,interesting reason,http:__www.oatext.com_Clinical-Obstetrics-Gynecology-and-Reproductive-Medicine-cogrm.php
Clinical Research and Trials (CRT),Unknown,A,clinical research and trials (crt),https://www.oatext.com/Clinical-Research-and-Trials-CRT.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Clinical-Research-and-Trials-CRT.php
"Dental, Oral and Craniofacial Research (DOCR)",Unknown,A,"dental, oral and craniofacial research (docr)",https://www.oatext.com/Dental-Oral-and-Maxillofacial-Research-DOMR.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Dental-Oral-and-Maxillofacial-Research-DOMR.php
"Fetal, Neonatal and Developmental Medicine (FNDM)",Unknown,A,"fetal, neonatal and developmental medicine (fndm)",https://www.oatext.com/Fetal-Neonatal-and-Developmental-Medicine-FNDM.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Fetal-Neonatal-and-Developmental-Medicine-FNDM.php
Fractal Geometry and Nonlinear Analysis in Medicine and Biology (FGNAMB),Unknown,A,fractal geometry and nonlinear analysis in medicine and biology (fgnamb),https://www.oatext.com/Fractal-Geometry-and-Nonlinear-Analysis-in-Medicine-and-Biology-FGNAMB.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Fractal-Geometry-and-Nonlinear-Analysis-in-Medicine-and-Biology-FGNAMB.php
Frontiers in Women’s Health (FWH),Unknown,A,frontiers in women’s health (fwh),https://www.oatext.com/Frontiers-in-Womens-Health-FWH.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Frontiers-in-Womens-Health-FWH.php
"Gastroenterology, Hepatology and Endoscopy (GHE)",Unknown,A,"gastroenterology, hepatology and endoscopy (ghe)",https://www.oatext.com/Gastroenterology-Hepatology-and-Endoscopy-GHE.php,Gray OA,,,,interesting reason,https:__www.oatext.com_Gastroenterology-Hepatology-and-Endoscopy-GHE.php
General Internal Medicine and Clinical Innovations (GIMCI),Unknown,A,general internal medicine and clinical innovations (gimci),https://www.oatext.com/General-Internal-Medicine-and-Clinical-Innovations-GIMCI.php,Gray OA,,,,interesting reason,https:__www.oatext.com_General-Internal-Medicine-and-Clinical-Innovations-GIMCI.php
Global Anesthesia and Perioperative Medicine (GAPM),Unknown,A,global anesthesia and perioperative medicine (gapm),http://www.oatext.com/Global-Anesthesia-and-Perioperative-Medicine-GAPM.php,Gray OA,,,,interesting reason,http:__www.oatext.com_Global-Anesthesia-and-Perioperative-Medicine-GAPM.php
